ATLBOS9S,KATL,KBOS,SOONE,KATL SOONE MCN DBN TWINS CAE J52 RDU J207 FKN J79 JFK ORW6 KBOS,ZTL,ZBW,ZBW ZDC ZJX ZNY ZTL,N,,1
ATLBOSAP,KATL,KBOS,EATWO,KATL EATWO GRD J209 RDU J207 FKN J79 JFK ORW6 KBOS,ZTL,ZBW,ZBW ZDC ZNY ZTL,N,,1
ATLBOSPA,KATL,KBOS,RAFTN,KATL PADGT1 SMTTH Q67 TONIO APE WWSHR Q29 JHW Q82 PONCT JFUND1 KBOS,ZTL,ZBW,ZBW ZID ZOB ZTL,Y,,3
ATLBOSRP,KATL,KBOS,SPA,KATL PLMMR1 SPA Q22 BEARI WAVES RAIMY AGARD J42 RBV J222 JFK ROBUC2 KBOS,ZTL,ZBW,ZBW ZDC ZNY ZTL,N,,2
ATLBOSVR,KATL,KBOS,MCN,KATL VRSTY1 MCN DBN TWINS CAE J52 RDU J207 FKN J79 JFK ROBUC2 KBOS,ZTL,ZBW,ZBW ZDC ZJX ZNY ZTL,Y,,2
ATLBWI1N,KATL,KBWI,NOTWO,KATL NOTWO J91 VXV J91 TONIO J42 BKW J147 CSN RIPKN2 KBWI,ZTL,ZDC,ZDC ZID ZTL,Y,,1
ATLBWI9S,KATL,KBWI,SOONE,KATL SOONE MCN DBN TWINS CAE J52 RIC RIPKN2 KBWI,ZTL,ZDC,ZDC ZJX ZTL,N,,1
ATLBWIAP,KATL,KBWI,EAONE,KATL EAONE SPA J14 RIC RIPKN2 KBWI,ZTL,ZDC,ZDC ZTL,N,,1
ATLBWIPA,KATL,KBWI,RAFTN,KATL PADGT1 RAFTN FLM J43 ROD APE KEMAN ANTHM3 KBWI,ZTL,ZDC,ZDC ZID ZNY ZOB ZTL,Y,,2
ATLBWIPL,KATL,KBWI,SPA,KATL PLMMR1 SPA PSK JOOEY RAVNN6 KBWI,ZTL,ZDC,ZDC ZTL,Y,,2
ATLBWIRP,KATL,KBWI,KELLN,KATL JACCC1 KELLN Q58 PEETT THHMP RAVNN6 KBWI,ZTL,ZDC,ZDC ZTL,N,,2
ATLBWISK,KATL,KBWI,BOBBD,KATL SMKEY1 BOBBD Q71 KONGO BKW RAVNN6 KBWI,ZTL,ZDC,ZDC ZID ZTL,Y,,2
ATLBWIVR,KATL,KBWI,MCN,KATL VRSTY1 MCN DBN TWINS CAE J52 RDU GOOOB THHMP RAVNN6 KBWI,ZTL,ZDC,ZDC ZJX ZTL,Y,,2
ATLCLE8E,KATL,KCLE,EAONE,KATL EAONE SPA BKW TVT KEATN6 KCLE,ZTL,ZOB,ZID ZOB ZTL,N,,1
ATLCLE9W,KATL,KCLE,WETWO,KATL WETWO VUZ BNA J39 ROD ZABER4 KCLE,ZTL,ZOB,ZID ZME ZOB ZTL,N,,1
ATLCLEAP,KATL,KCLE,NOTWO,KATL NOTWO VXV J91 BULEY J91 HNN TVT KEATN6 KCLE,ZTL,ZOB,ZID ZOB ZTL,N,,1
ATLCLECU,KATL,KCLE,HANKO,KATL CUTTN1 HANKO GAD RQZ BNA J39 ROD ZABER4 KCLE,ZTL,ZOB,ZID ZME ZOB ZTL,Y,,2
ATLCLEPL,KATL,KCLE,SPA,KATL PLMMR1 SPA BKW TVT KEATN6 KCLE,ZTL,ZOB,ZID ZOB ZTL,Y,,2
ATLCLERP,KATL,KCLE,SMTTH,KATL PADGT1 SMTTH Q67 JONEN HNN TVT KEATN6 KCLE,ZTL,ZOB,ZID ZOB ZTL,N,,2
ATLCLT1N,KATL,KCLT,NOTWO,KATL NOTWO J91 VXV LIINN2 KCLT,ZTL,ZTL,ZTL,N,,1
ATLCLTAP,KATL,KCLT,EATWO,KATL EATWO IRQ UNARM3 KCLT,ZTL,ZTL,ZTL,N,,1
ATLCLTRP,KATL,KCLT,GRD,KATL PHIIL1 GRD ADENA3 KCLT,ZTL,ZTL,ZTL,N,,2
ATLCLTSK,KATL,KCLT,BOBBD,KATL SMKEY1 BOBBD COMDY FILPZ1 KCLT,ZTL,ZTL,ZTL,Y,,2
ATLCLTVR,KATL,KCLT,MCN,KATL VRSTY1 MCN DBN SAV HUSTN2 KCLT,ZTL,ZTL,ZJX ZTL,Y,,2
ATLDCA9N,KATL,KDCA,NOTWO,KATL NOTWO VXV J91 HNN AIR J34 BUCKO NUMMY2 KDCA,ZTL,ZDC,ZDC ZID ZOB ZTL,N,,1
ATLDCA9S,KATL,KDCA,SOONE,KATL SOONE MCN DBN TWINS CAE J52 RIC IRONS6 KDCA,ZTL,ZDC,ZDC ZJX ZTL,N,,1
ATLDCAAP,KATL,KDCA,EAONE,KATL EAONE SPA J14 RIC IRONS6 KDCA,ZTL,ZDC,ZDC ZTL,N,,1
ATLDCAPA,KATL,KDCA,SMTTH,KATL PADGT1 SMTTH FLM J43 ROD APE J30 BUCKO FRDMM3 KDCA,ZTL,ZDC,ZDC ZID ZOB ZTL,Y,,2
ATLDCAPL,KATL,KDCA,SPA,KATL PLMMR1 SPA BKW TRUPS3 KDCA,ZTL,ZDC,ZDC ZID ZTL,Y,,2
ATLDCARP,KATL,KDCA,KELLN,KATL JACCC1 KELLN Q56 KIWII WAVES CAPSS2 KDCA,ZTL,ZDC,ZDC ZTL,N,,2
ATLDCASK,KATL,KDCA,BOBBD,KATL SMKEY1 BOBBD Q71 KONGO BKW TRUPS3 KDCA,ZTL,ZDC,ZDC ZID ZTL,Y,,2
ATLDCAVR,KATL,KDCA,MCN,KATL VRSTY1 MCN DBN TWINS CAE J52 RDU FUUFF WAVES CAPSS2 KDCA,ZTL,ZDC,ZDC ZJX ZTL,Y,,2
ATLDENHA,KATL,KDEN,SARGE,KATL HAALO1 SARGE EUF ARNNY IGB LIT RZC PER GCK KIISS JAGGR3 KDEN,ZTL,ZDV,ZDV ZKC ZME ZTL,Y,,2
ATLDENPE,KATL,KDEN,JAACE,KATL PENCL1 JAACE BNA ARG RZC PER GCK KIISS JAGGR3 KDEN,ZTL,ZDV,ZDV ZKC ZME ZTL,Y,,2
ATLDENRP,KATL,KDEN,HANKO,KATL CUTTN1 HANKO MEM PER GCK KIISS JAGGR3 KDEN,ZTL,ZDV,ZDV ZKC ZME ZTL,N,,2
ATLDFW8S,KATL,KDFW,SOTWO,KATL SOTWO CSG GCV AEX PNUTS BEREE1 KDFW,ZTL,ZFW,ZFW ZHU ZTL,N,,1
ATLDFW9N,KATL,KDFW,NOONE,KATL NOONE GQO BNA MEM J66 LIT FEWWW SEEVR3 KDFW,ZTL,ZFW,ZFW ZME ZTL,N,,1
ATLDFWAP,KATL,KDFW,WEONE,KATL WEONE J239 JAMMR MEI MLU YUYUN BEREE1 KDFW,ZTL,ZFW,ZFW ZME ZTL,N,,1
ATLDFWHA,KATL,KDFW,SARGE,KATL HAALO1 SARGE GCV AEX PNUTS BEREE1 KDFW,ZTL,ZFW,ZFW ZHU ZTL,Y,,2
ATLDFWPE,KATL,KDFW,PENCL,KATL PENCL1 PENCL LEDRR JAACE MEM J66 LIT FEWWW SEEVR3 KDFW,ZTL,ZFW,ZFW ZME ZTL,Y,,2
ATLDFWRP,KATL,KDFW,STNGA,KATL KAJIN1 STNGA MLU YUYUN BEREE1 KDFW,ZTL,ZFW,ZFW ZME ZTL,N,,2
