id,filename,ident,name,type,frequency_khz,latitude_deg,longitude_deg,elevation_ft,iso_country,dme_frequency_khz,dme_channel,dme_latitude_deg,dme_longitude_deg,dme_elevation_ft,slaved_variation_deg,magnetic_variation_deg,usageType,power,associated_airport
85178,Kenie_NDB_US,AA,Kenie,NDB,365,47.00930023,-96.81520081,887,US,,,,,,,4.089,TERMINAL,MEDIUM,KFAR
85179,Cedar_NDB_US,AA,Cedar,NDB,341,33.53300095,-82.61440277,517,US,,,,,,,-5.217,TERMINAL,LOW,
85180,Abraham_NDB_US,AAA,Abraham,NDB,329,40.16009903,-89.33779907,593,US,,,,,,,-1.206,TERMINAL,LOW,
85182,Apalachicola_NDB_US,AAF,Apalachicola,NDB,349,29.72330093,-85.02809906,19,US,,,,,,,-2.557,TERMINAL,LOW,
85190,Ashland_NDB_US,AAU,Ashland,NDB,329,40.9632988,-82.25340271,1256,US,,,,,,,-7.232,TERMINAL,LOW,
85198,Putny_NDB_US,AB,Putny,NDB,227,31.45610046,-84.27619934,,US,,,,,,,-3.456,TERMINAL,LOW,KABY
85199,Tomhi_NDB_US,AB,Tomhi,NDB,353,32.2989006,-99.67420197,1950,US,,,,,,,6.183,TERMINAL,LOW,KABI
85200,Reney_NDB_US,AB,Reney,NDB,203,45.38600159,-98.32839966,,US,,,,,,,5.298,TERMINAL,LOW,KABR
85201,Leehi_NDB_US,AB,Leehi,NDB,400,40.58580017,-75.54959869,,US,,,,,,,-12.112,TERMINAL,LOW,KABE
85204,Nabb_VORTAC_US,ABB,Nabb,VORTAC,112400,38.58879852,-85.63600159,710,US,112400,071X,,,,1.001,-4.045,LO,MEDIUM,
85209,Ambassador_NDB_US,ABG,Ambassador,NDB,404,32.58539963,-95.11299896,420,US,,,,,,,3.377,TERMINAL,LOW,1TX9
85211,Abilene_VORTAC_US,ABI,Abilene,VORTAC,113700,32.48130035,-99.8635025,1810,US,113700,084X,,,,10.012,6.246,BOTH,HIGH,KDYS
85217,Albuquerque_VORTAC_US,ABQ,Albuquerque,VORTAC,113200,35.04380035,-106.8160019,5743,US,113200,079X,,,,13.001,9.551,BOTH,HIGH,
85218,Aberdeen_VOR-DME_US,ABR,Aberdeen,VOR-DME,113000,45.41740036,-98.36869812,1301,US,113000,077X,,,,7.001,5.316,BOTH,HIGH,
85224,Coffi_NDB_US,AC,Coffi,NDB,358,31.69400024,-97.20379639,,US,,,,,,,4.551,TERMINAL,MEDIUM,KACT
85225,Waivs_NDB_US,AC,Waivs,NDB,248,41.31110001,-69.98670197,,US,,,,,,,-15.315,TERMINAL,LOW,KACK
85230,Kachemak_NDB_US,ACE,Kachemak,NDB,277,59.6413002,-151.5,78,US,,,,,,,19.119,LO,MEDIUM,PAHO
85231,Anton_Chico_VORTAC_US,ACH,Anton Chico,VORTAC,117800,35.11169815,-105.0400009,5450,US,117800,125X,,,,12.001,9.091,BOTH,HIGH,NM76
85234,Nantucket_VOR-DME_US,ACK,Nantucket,VOR-DME,116200,41.28179932,-70.02670288,100,US,116200,109X,,,,-15.001,-15.298,BOTH,HIGH,KACK
85235,Akron_VOR-DME_US,ACO,Akron,VOR-DME,114400,41.10789871,-81.20149994,1200,US,114400,091X,,,,-4.004,-8.159,LO,MEDIUM,
85237,Waseca_NDB_US,ACQ,Waseca,NDB,371,44.07020187,-93.55239868,1120,US,,,,,,,1.379,TERMINAL,LOW,
85238,Waco_VORTAC_US,ACT,Waco,VORTAC,115300,31.66230011,-97.26899719,510,US,115300,100X,,,,9.008,4.574,BOTH,HIGH,
85239,Arcata_VOR-DME_US,ACV,Arcata,VOR-DME,110200,40.98139954,-124.1080017,193,US,110200,039X,,,,17.001,15.535,LO,LOW,KACV
85240,Atlantic_City_VORTAC_US,ACY,Atlantic City,VORTAC,108600,39.45589828,-74.57630157,70,US,108600,023X,,,,-10.002,-12.268,LO,MEDIUM,KACY
85241,Pendy_NDB_US,ACZ,Pendy,NDB,379,34.71630096,-78.00360107,30,US,,,,,,,-8.549,TERMINAL,LOW,
85252,Brons_NDB_US,AD,Brons,NDB,407,33.04430008,-96.87049866,,US,,,,,,,4.423,TERMINAL,MEDIUM,
85261,Arkadelphia_NDB_US,ADF,Arkadelphia,NDB,275,34.05540085,-93.10489655,181,US,,,,,,,2.132,TERMINAL,LOW,
85262,Adrian_NDB_US,ADG,Adrian,NDB,278,41.86999893,-84.07749939,862,US,,,,,,,-6.089,TERMINAL,LOW,
85263,Ada_VOR-DME_US,ADH,Ada,VOR-DME,117800,34.80260086,-96.67009735,987,US,117800,125X,,,,6.001,4.33,LO,LOW,
85264,Mount_Moffett_NDB-DME_US,ADK,Mount Moffett,NDB-DME,530,51.87189865,-176.6759949,332,US,114000,087X,51.8713,-176.674,379,,6.285,BOTH,MEDIUM,PADK
85266,Ardmore_VORTAC_US,ADM,Ardmore,VORTAC,116700,34.21160126,-97.16829681,925,US,116700,114X,,,,6.003,4.523,BOTH,HIGH,
85274,Atwood_NDB_US,ADT,Atwood,NDB,365,39.83860016,-101.0449982,2936,US,,,,,,,7.216,TERMINAL,LOW,
85275,Audubon_NDB_US,ADU,Audubon,NDB,266,41.69029999,-94.91000366,1278,US,,,,,,,2.595,TERMINAL,LOW,
85276,Andrews_VORTAC_US,ADW,Andrews,VORTAC,113100,38.80720139,-76.86620331,260,US,113100,078X,,,,-10.005,-10.463,LO,MEDIUM,KADW
85279,Dudle_NDB_US,AE,Dudle,NDB,351,35.21730042,-106.7129974,,US,,,,,,,9.54,TERMINAL,LOW,
85280,Jones_NDB_US,AEA,Jones,NDB,373,36.61449814,-78.05319977,270,US,,,,,,,-9.214,TERMINAL,LOW,
85281,Antlers_NDB_US,AEE,Antlers,NDB,391,34.19179916,-95.65190125,569,US,,,,,,,3.548,TERMINAL,LOW,
85282,Albert_Lea_VOR-DME_US,AEL,Albert Lea,VOR-DME,109800,43.68180084,-93.3707962,1265,US,109800,035X,,,,5.001,1.315,TERMINAL,LOW,
85283,Nabesna_NDB_US,AES,Nabesna,NDB,390,62.96580124,-141.8880005,,US,,,,,,,23.426,LO,MEDIUM,PAOR
85284,Alexandria_VORTAC_US,AEX,Alexandria,VORTAC,116100,31.25670052,-92.50099945,80,US,116100,108X,,,,3.009,2.012,BOTH,HIGH,
85285,Waverly_NDB_US,AEY,Waverly,NDB,329,36.11619949,-87.74130249,708,US,,,,,,,-1.576,TERMINAL,LOW,
85287,Watford_City_NDB_US,AFD,Watford City,NDB,400,47.81510162,-103.2580032,2066,US,,,,,,,9.178,TERMINAL,LOW,
85288,Kake_NDB-DME_US,AFE,Kake,NDB-DME,223,56.96390152,-133.9120026,170,US,114400,091X,,,,,22.201,LO,LOW,PAFE
85290,Nebraska_City_NDB_US,AFK,Nebraska City,NDB,347,40.60559845,-95.8608017,1160,US,,,,,,,3.476,TERMINAL,LOW,
