ident,type,latitude_deg,longitude_deg,elevation_ft
ABB,VORTAC,38.58879852,-85.63600159,710
ABI,VORTAC,32.48130035,-99.8635025,1810
ABQ,VORTAC,35.04380035,-106.8160019,5743
ABR,VOR-DME,45.41740036,-98.36869812,1301
ACH,VORTAC,35.11169815,-105.0400009,5450
ACK,VOR-DME,41.28179932,-70.02670288,100
ACO,VOR-DME,41.10789871,-81.20149994,1200
ACT,VORTAC,31.66230011,-97.26899719,510
ACV,VOR-DME,40.98139954,-124.1080017,193
ACY,VORTAC,39.45589828,-74.57630157,70
ADH,VOR-DME,34.80260086,-96.67009735,987
ADK,NDB-DME,51.87189865,-176.6759949,332
ADM,VORTAC,34.21160126,-97.16829681,925
ADW,VORTAC,38.80720139,-76.86620331,260
AEL,VOR-DME,43.68180084,-93.3707962,1265
AEX,VORTAC,31.25670052,-92.50099945,80
AFE,NDB-DME,56.96390152,-133.9120026,170
AGC,VOR-DME,40.27870178,-80.04090118,1290
AHC,VOR-DME,40.26789856,-120.1520004,4028
AHN,VORTAC,33.94760132,-83.32479858,790
AHT,NDB-DME,51.37969971,-179.2579956,221
AIA,VOR-DME,42.05559921,-102.8040009,3925
AIR,VOR-DME,40.01699829,-80.81729889,1290
AIX,NDB-DME,60.38499832,-166.2149963,33
AKN,VORTAC,58.72470093,-156.7519989,89
AKO,VOR-DME,40.1556015,-103.1800003,4620
AKW,NDB-DME,55.5685997,-133.0789948,30
ALB,VORTAC,42.74720001,-73.80319977,275
ALD,VOR,33.01250076,-81.29219818,190
ALI,VOR,27.7397995,-98.02130127,170
ALO,VORTAC,42.55649948,-92.39890289,865
ALS,VORTAC,37.3492012,-105.8160019,7535
ALW,VOR-DME,46.0870018,-118.2929993,1150
AMF,NDB-DME,67.10679626,-157.8580017,282
AMG,VORTAC,31.53650093,-82.50810242,200
AML,VORTAC,38.93460083,-77.46669769,297
ANC,VOR-DME,61.1507988,-150.2070007,287
ANN,VOR-DME,55.0603981,-131.5780029,174
ANV,NDB-DME,62.64139938,-160.1900024,358
ANW,VOR-DME,42.56909943,-99.98970032,2582
ANX,VORTAC,39.09540176,-94.12879944,878
ANY,VORTAC,37.15890121,-98.17070007,1390
AOH,VOR,40.70709991,-83.96820068,980
AOO,VOR,40.32540131,-78.30370331,1630
APE,VORTAC,40.15110016,-82.58830261,1350
APN,VORTAC,45.08280182,-83.55699921,680
ARD,VOR-DME,40.25329971,-74.9076004,300
